hour, average
0, 8.139534883720955
1, 8.139534883720955
2, 8.139534883720955
3, 8.139534883720955
4, 8.139534883720955
5, 85.27131782945739
6, 60.07751937984496
7, 6.589147286821742
8, 6.589147286821742
9, 6.589147286821742
10, 6.589147286821742
11, 6.589147286821742
12, 6.589147286821742
13, 6.589147286821742
14, 6.976744186046517
15, 6.976744186046517
16, 6.976744186046517
17, 135.27131782945736
18, 65.89147286821708
19, 64.34108527131785
20, 13.953488372093034
21, 10.077519379844972
22, 8.527131782945759
23, 8.139534883720955
